indic_na,aggreg95,geo\time	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 
PLI_EU28,E011,AL	: 	51.2 	51.4 	51.9 	53.8 	51.4 	52.7 	51.7 	48.2 	48.5 	47.8 	47.0 
PLI_EU28,E011,AT	103.4 	102.6 b	102.0 	102.7 	105.2 	107.9 	105.1 	105.9 	105.2 	106.1 	105.8 	105.2 
PLI_EU28,E011,BA	: 	51.3 	52.6 	53.1 	57.3 	57.5 	55.7 	55.4 	53.3 	52.9 	51.8 	51.1 
PLI_EU28,E011,BE	106.9 	106.5 b	107.8 	107.5 	110.4 	112.4 	110.2 	110.3 	109.5 	109.9 	108.7 	107.1 
PLI_EU28,E011,BG	42.0 	43.3 b	44.9 	45.6 	49.4 	51.3 	50.0 	50.2 	50.2 	49.2 	47.9 	46.7 
PLI_EU28,E011,CH	141.0 	137.7 b	134.7 	125.2 	128.6 	137.6 	148.1 	160.3 	153.5 	148.2 	148.9 	163.3 
PLI_EU28,E011,CY	91.3 	90.5 b	90.4 	88.3 	87.8 	89.8 	88.7 	93.5 	93.5 	92.9 	90.1 	87.4 
PLI_EU28,E011,CZ	55.5 	58.2 b	61.4 	62.5 	77.3 	73.1 	74.6 	73.7 	71.7 	68.6 	63.7 	63.3 
PLI_EU28,E011,DE	104.9 	103.4 b	102.7 	101.8 	103.6 	107.0 	103.6 	102.2 	100.9 	102.7 	101.5 	99.8 
PLI_EU28,E011,DK	139.7 	140.5 b	138.5 	137.4 	139.8 	143.1 	140.5 	141.4 	138.6 	139.0 	139.1 	136.8 
PLI_EU28,E011,EA18	103.0 	102.0 b	101.8 	101.3 	103.1 	105.7 	103.1 	103.3 	102.2 	102.6 	101.7 	99.8 
PLI_EU28,E011,EA19	102.8 	101.8 b	101.6 	101.0 	102.9 	105.5 	102.9 	103.0 	102.0 	102.3 	101.4 	99.6 
PLI_EU28,E011,EE	63.1 	64.7 b	68.6 	73.4 	76.7 	77.3 	74.8 	76.0 	73.9 	75.7 	75.6 	75.2 
PLI_EU28,E011,EL	87.7 	88.4 b	89.1 	89.9 	91.8 	95.0 	94.5 	95.2 	92.1 	88.5 	85.4 	83.4 
PLI_EU28,E011,ES	91.1 	91.2 b	91.8 	92.9 	95.1 	97.7 	96.6 	97.0 	95.6 	94.2 	92.3 	90.2 
PLI_EU28,E011,EU27	100.2 	100.2 b	100.1 	100.1 	100.1 	100.1 	100.1 	100.1 	100.2 	100.2 	100.2 	100.2 
PLI_EU28,E011,EU28	100.0 	100.0 b	100.0 	100.0 	100.0 	100.0 	100.0 	100.0 	100.0 	100.0 	100.0 	100.0 
PLI_EU28,E011,FI	124.0 	123.8 b	122.8 	119.7 	120.8 	124.1 	121.8 	122.2 	121.3 	123.0 	122.3 	119.7 
PLI_EU28,E011,FR	110.1 	108.3 b	108.6 	108.2 	110.8 	112.3 	110.1 	109.9 	109.0 	108.0 	107.7 	105.4 
PLI_EU28,E011,HR	66.6 	68.8 b	72.6 	72.0 	74.2 	76.4 	75.2 	72.6 	69.0 	68.5 	66.1 	65.4 
PLI_EU28,E011,HU	62.1 	63.4 b	60.7 	66.8 	69.5 	63.3 	63.0 	61.8 	61.1 	59.8 	57.5 	57.2 
PLI_EU28,E011,IE	126.1 	123.6 b	124.6 	124.2 	129.8 	125.6 	118.1 	119.2 	118.7 	121.2 	122.3 	122.5 
PLI_EU28,E011,IS	138.0 	153.5 b	144.8 	149.1 	103.6 	100.3 	105.2 	107.3 	110.7 	111.7 	118.0 	125.0 
PLI_EU28,E011,IT	105.1 	104.8 b	104.3 	102.6 	102.5 	104.9 	101.2 	103.1 	102.7 	103.3 	102.9 	100.9 
PLI_EU28,E011,JP	129.4 	120.4 	110.1 	96.5 	102.0 	119.6 	128.1 	130.1 	134.4 	103.3 	97.0 	100.7 
PLI_EU28,E011,LT	53.6 	54.9 b	57.4 	60.1 	66.0 	67.0 	63.6 	64.8 	63.9 	63.3 	62.8 	62.7 
PLI_EU28,E011,LU	103.2 	111.7 b	111.4 	114.9 	117.3 	121.6 	122.4 	120.6 	118.4 	120.4 	120.4 	119.2 
PLI_EU28,E011,LV	56.2 	57.1 b	60.8 	66.7 	75.1 	76.1 	70.0 	72.6 	71.7 	70.5 	70.1 	69.2 
PLI_EU28,E011,ME	: 	55.5 	56.3 	55.8 	60.4 	60.1 	57.2 	56.1 	56.0 	56.8 	55.5 	55.4 
PLI_EU28,E011,MK	44.4 	43.3 b	43.7 	44.7 	46.5 	45.3 	44.8 	48.8 	48.0 	47.5 	46.5 	45.6 
PLI_EU28,E011,MT	73.3 	73.1 b	74.8 	75.5 	77.4 	78.1 	77.5 	79.6 	79.0 	81.6 	80.9 	80.5 
PLI_EU28,E011,NL	106.3 	104.8 b	104.1 	102.1 	104.2 	107.9 	107.9 	108.4 	108.2 	110.0 	109.8 	109.1 
PLI_EU28,E011,NO	135.4 	140.8 b	139.9 	137.6 	140.7 	139.4 	150.5 	156.6 	160.4 	156.2 	146.5 	137.2 
PLI_EU28,E011,PL	53.3 	61.1 b	62.5 	61.8 	69.3 	58.2 	60.4 	58.6 	56.3 	56.1 	55.8 	54.8 
PLI_EU28,E011,PT	87.5 	85.2 b	85.0 	85.8 	87.9 	89.2 	87.4 	85.0 	82.5 	82.0 	81.8 	80.9 
PLI_EU28,E011,RO	43.4 	54.5 b	57.7 	63.8 	63.1 	57.6 	57.4 	55.2 	51.9 	53.7 	53.1 	51.9 
PLI_EU28,E011,RS	: 	46.7 	49.7 	55.4 	58.6 	55.8 	52.4 	55.3 	49.9 	52.7 	50.5 	49.0 
PLI_EU28,E011,SE	121.6 	119.2 b	118.5 	115.7 	113.0 	107.6 	119.7 	125.9 	126.8 	132.3 	125.6 	121.3 
PLI_EU28,E011,SI	75.6 	76.1 b	76.7 	79.0 	82.9 	88.0 	86.1 	85.4 	83.8 	83.8 	81.7 	79.9 
PLI_EU28,E011,SK	55.0 	55.4 b	58.1 	63.3 	69.9 	73.2 	70.3 	70.8 	70.1 	68.9 	67.8 	66.6 
PLI_EU28,E011,TR	59.2 	66.8 b	66.5 	70.2 	68.3 	63.4 	69.8 	62.1 	65.2 	64.1 	59.8 	60.9 
PLI_EU28,E011,UK	108.6 	109.9 b	110.7 	114.1 	103.1 	96.8 	107.8 	109.1 	116.8 	115.0 	121.5 	131.3 
PLI_EU28,E011,US	92.9 	92.7 	92.8 	85.0 	81.9 	89.4 	92.9 	89.3 	95.2 	92.0 	92.0 	107.4 
PLI_EU28,E011,XK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	50.4 
